Bookmark,Frame#,Role,Addr.,ctype,Response,Error code,OpCode,Operation ID,State_flag,PDU ID,Pkt type,Cap Id,Frame Size,Delta,Timestamp,
,10918,CT,1,CONTROL,,,PASS THROUGH,play,Button Pushed,,,,24,="",="7/15/2014 1:40:18.228628 PM",
,10919,TG,1,,ACCEPTED,,PASS THROUGH,play,Button Pushed,,,,24,=" 00:00:00.055625",="7/15/2014 1:40:18.284253 PM",
,10920,CT,1,CONTROL,,,PASS THROUGH,play,Button Released,,,,24,=" 00:00:00.051876",="7/15/2014 1:40:18.336129 PM",
,10921,TG,1,,ACCEPTED,,PASS THROUGH,play,Button Released,,,,24,=" 00:00:00.003125",="7/15/2014 1:40:18.339254 PM",
,18860,CT,1,CONTROL,,,PASS THROUGH,play,Button Pushed,,,,24,=" 00:03:04.727982",="7/15/2014 1:43:23.067236 PM",
,18861,TG,1,,ACCEPTED,,PASS THROUGH,play,Button Pushed,,,,24,=" 00:00:00.011875",="7/15/2014 1:43:23.079111 PM",
,18862,CT,1,CONTROL,,,PASS THROUGH,play,Button Released,,,,24,=" 00:00:00.059376",="7/15/2014 1:43:23.138487 PM",
,18863,TG,1,,ACCEPTED,,PASS THROUGH,play,Button Released,,,,24,=" 00:00:00.011874",="7/15/2014 1:43:23.150361 PM",
,23397,CT,1,CONTROL,,,PASS THROUGH,pause,Button Pushed,,,,24,=" 00:00:48.818539",="7/15/2014 1:44:11.968900 PM",
,23401,TG,1,,ACCEPTED,,PASS THROUGH,pause,Button Pushed,,,,24,=" 00:00:00.011875",="7/15/2014 1:44:11.980775 PM",
,23405,CT,1,CONTROL,,,PASS THROUGH,pause,Button Released,,,,24,=" 00:00:00.048125",="7/15/2014 1:44:12.028900 PM",
,23406,TG,1,,ACCEPTED,,PASS THROUGH,pause,Button Released,,,,24,=" 00:00:00.005625",="7/15/2014 1:44:12.034525 PM",
,23579,CT,1,CONTROL,,,PASS THROUGH,play,Button Pushed,,,,24,=" 00:00:02.414396",="7/15/2014 1:44:14.448921 PM",
,23585,TG,1,,ACCEPTED,,PASS THROUGH,play,Button Pushed,,,,24,=" 00:00:00.024375",="7/15/2014 1:44:14.473296 PM",
,23591,CT,1,CONTROL,,,PASS THROUGH,play,Button Released,,,,24,=" 00:00:00.041875",="7/15/2014 1:44:14.515171 PM",
,23595,TG,1,,ACCEPTED,,PASS THROUGH,play,Button Released,,,,24,=" 00:00:00.023125",="7/15/2014 1:44:14.538296 PM",
,28619,CT,1,CONTROL,,,PASS THROUGH,pause,Button Pushed,,,,24,=" 00:01:04.923704",="7/15/2014 1:45:19.462000 PM",
,28631,TG,1,,ACCEPTED,,PASS THROUGH,pause,Button Pushed,,,,24,=" 00:00:00.050625",="7/15/2014 1:45:19.512625 PM",
,28638,CT,1,CONTROL,,,PASS THROUGH,pause,Button Released,,,,24,=" 00:00:00.051876",="7/15/2014 1:45:19.564501 PM",
,28644,TG,1,,ACCEPTED,,PASS THROUGH,pause,Button Released,,,,24,=" 00:00:00.015625",="7/15/2014 1:45:19.580126 PM",
,28948,CT,1,CONTROL,,,PASS THROUGH,play,Button Pushed,,,,44,=" 00:00:06.825683",="7/15/2014 1:45:26.405809 PM",
,28950,TG,1,,ACCEPTED,,PASS THROUGH,play,Button Pushed,,,,24,=" 00:00:00.061875",="7/15/2014 1:45:26.467684 PM",
,28952,CT,1,CONTROL,,,PASS THROUGH,play,Button Released,,,,24,=" 00:00:00.045626",="7/15/2014 1:45:26.513310 PM",
,93486,CT,2,CONTROL,,,PASS THROUGH,pause,Button Pushed,,,,24,=" 00:12:42.638866",="7/15/2014 1:58:09.152176 PM",
,93488,TG,2,,ACCEPTED,,PASS THROUGH,pause,Button Pushed,,,,24,=" 00:00:00.015625",="7/15/2014 1:58:09.167801 PM",
,93493,TG,2,,ACCEPTED,,PASS THROUGH,pause,Button Released,,,,24,=" 00:00:00.047500",="7/15/2014 1:58:09.215301 PM",
,96577,CT,2,CONTROL,,,PASS THROUGH,play,Button Pushed,,,,24,=" 00:00:28.277120",="7/15/2014 1:58:37.492421 PM",
,96792,CT,2,CONTROL,,,PASS THROUGH,pause,Button Pushed,,,,24,=" 00:00:01.888767",="7/15/2014 1:58:39.381188 PM",
,96794,TG,2,,ACCEPTED,,PASS THROUGH,pause,Button Pushed,,,,24,=" 00:00:00.010625",="7/15/2014 1:58:39.391813 PM",
,96802,CT,2,CONTROL,,,PASS THROUGH,pause,Button Released,,,,24,=" 00:00:00.053125",="7/15/2014 1:58:39.444938 PM",
,96803,TG,2,,ACCEPTED,,PASS THROUGH,pause,Button Released,,,,24,=" 00:00:00.004375",="7/15/2014 1:58:39.449313 PM",
,97686,TG,2,,ACCEPTED,,PASS THROUGH,play,Button Pushed,,,,24,=" 00:00:10.120088",="7/15/2014 1:58:49.569401 PM",
,97689,CT,2,CONTROL,,,PASS THROUGH,play,Button Released,,,,24,=" 00:00:00.058126",="7/15/2014 1:58:49.627527 PM",
,107095,CT,1,CONTROL,,,PASS THROUGH,play,Button Pushed,,,,24,=" 00:01:03.556771",="7/15/2014 1:59:53.184298 PM",
,107097,TG,1,,ACCEPTED,,PASS THROUGH,play,Button Pushed,,,,24,=" 00:00:00.011874",="7/15/2014 1:59:53.196172 PM",
,107098,CT,1,CONTROL,,,PASS THROUGH,play,Button Released,,,,24,=" 00:00:00.043126",="7/15/2014 1:59:53.239298 PM",
,107099,TG,1,,ACCEPTED,,PASS THROUGH,play,Button Released,,,,24,=" 00:00:00.011875",="7/15/2014 1:59:53.251173 PM",
,115635,CT,1,CONTROL,,,PASS THROUGH,play,Button Pushed,,,,24,=" 00:03:20.136620",="7/15/2014 2:03:13.387793 PM",
,115641,TG,1,,ACCEPTED,,PASS THROUGH,play,Button Pushed,,,,24,=" 00:00:00.089376",="7/15/2014 2:03:13.477169 PM",
,115642,CT,1,CONTROL,,,PASS THROUGH,play,Button Released,,,,24,=" 00:00:00.048125",="7/15/2014 2:03:13.525294 PM",
,115643,TG,1,,ACCEPTED,,PASS THROUGH,play,Button Released,,,,24,=" 00:00:00.003125",="7/15/2014 2:03:13.528419 PM",
,207174,CT,2,CONTROL,,,PASS THROUGH,pause,Button Pushed,,,,24,=" 00:10:16.224864",="7/15/2014 2:13:29.753283 PM",
,207176,TG,2,,ACCEPTED,,PASS THROUGH,pause,Button Pushed,,,,24,=" 00:00:00.003125",="7/15/2014 2:13:29.756408 PM",
,207188,TG,2,,ACCEPTED,,PASS THROUGH,pause,Button Released,,,,24,=" 00:00:00.072500",="7/15/2014 2:13:29.828908 PM",
,220109,CT,2,CONTROL,,,PASS THROUGH,play,Button Pushed,,,,24,=" 00:01:59.910456",="7/15/2014 2:15:29.739364 PM",
,220116,TG,2,,ACCEPTED,,PASS THROUGH,play,Button Pushed,,,,24,=" 00:00:00.029375",="7/15/2014 2:15:29.768739 PM",
,220123,CT,2,CONTROL,,,PASS THROUGH,play,Button Released,,,,24,=" 00:00:00.061875",="7/15/2014 2:15:29.830614 PM",
,220126,TG,2,,ACCEPTED,,PASS THROUGH,play,Button Released,,,,24,=" 00:00:00.008125",="7/15/2014 2:15:29.838739 PM",
